"code_article";"unite"
"00000006";"POC"
"00000100";"COL"
"00000613";"PI"
"00000627";"BOITE"
"00000631";"BOITE"
"00000632";"BOITE"
"00000641";"BOITE"
"00000789";"PI"
"00000811";"SACH"
"00000823";"BOITE"
"00001137";"SAC"
"00001143";"COL"
"00001264";"SAC"
"00001502";"COL"
"00001550";"POC"
"00002234";"BOITE"
"00002649";"SEAU"
"00002652";"SEAU"
"00002768";"BOITE"
"00003000";"CAR"
"00003002";"CAR"
"00003004";"CAR"
"00003070";"SEAU"
"00003768";"BOITE"
"00004108";"POC"
"00004109";"POC"
"00004175";"SEAU"
"00004991";"POC"
"00005016";"COL"
"00005101";"POC"
"00005157";"PI"
"00005327";"PI"
"00005332";"PI"
"00005333";"PI"
"00006002";"PI"
"00006006";"PI"
"00006025";"PI"
"00006026";"BID"
"00006030";"BID"
"00006031";"PI"
"00006110";"PI"
"00007805";"BOITE"
"00010002";"BOITE"
"00010009";"BOITE"
"00010011";"BOITE"
"00010015";"BOITE"
"00010019";"BOITE"
"00010021";"BOITE"
"00010027";"BOITE"
"00010051";"POC"
"00010104";"POC"
"00010113";"POC"
"00010116";"POC"
"00010123";"POC"
"00010151";"POC"
"00010155";"POC"
"00010156";"POC"
"00010203";"POC"
"00010204";"POC"
"00010208";"POC"
"00010212";"POC"
"00010215";"POC"
"00010217";"POC"
"00010227";"POC"
"00010253";"POC"
"00010291";"POC"
"00010301";"POC"
"00010302";"POC"
"00010314";"POC"
"00010352";"POC"
"00010361";"POC"
"00010363";"POC"
"00010364";"POC"
"00010391";"POC"
"00010392";"POC"
"00010401";"POC"
"00010423";"POC"
"00010428";"POC"
"00010429";"POC"
"00010457";"POC"
"00010459";"POC"
"00010461";"BARQ"
"00010464";"BARQ"
"00010492";"CAR"
"00010509";"COL"
"00010520";"POC"
"00010525";"COL"
"00010559";"COL"
"00010563";"CAR"
"00010568";"PAQUET"
"00010591";"PI"
"00010606";"POC"
"00010610";"PI"
"00010619";"POC"
"00010623";"COL"
"00010625";"POC"
"00010628";"PI"
"00010631";"COL"
"00010636";"COL"
"00010658";"BOITE"
"00010728";"PI"
"00010743";"BOITE"
"00010761";"CAR"
"00010767";"CAR"
"00010771";"CAR"
"00010800";"POC"
"00010809";"CAR"
"00010811";"COL"
"00010812";"COL"
"00010815";"POC"
"00010817";"CAR"
"00010821";"CAR"
"00010824";"POC"
"00010830";"POC"
"00010865";"COL"
"00010900";"COL"
"00010922";"COL"
"00010998";"COL"
"00011001";"KG"
"00011098";"COL"
"00011101";"BOITE"
"00011102";"BOITE"
"00011103";"CAR"
"00011104";"CAR"
"00011106";"COL"
"00011115";"POC"
"00011122";"BOITE"
"00011125";"PI"
"00011130";"BARQ"
"00011136";"CAR"
"00011167";"CAR"
"00011183";"COL"
"00011188";"POC"
"00011195";"COL"
"00011196";"CAR"
"00011213";"CAR"
"00011227";"CAR"
"00011238";"COL"
"00011241";"COL"
"00011243";"COL"
"00011256";"CAR"
"00011280";"POC"
"00011294";"CAR"
